         9419130906 function calls (9037817859 primitive calls) in 13814.526 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910304 4545.223    0.002 4552.395    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   121258 2953.018    0.024 2953.018    0.024 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
   363558   10.422    0.000   37.481    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:3100(__init__)
 21813480   10.163    0.000   10.163    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\util\options.py:33(__init__)
  3635684    9.951    0.000   75.726    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:815(value_to_attr_value)
  2060170    9.791    0.000    9.791    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetOpDef}
 14622739    9.757    0.000   23.353    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:1682(generate_pseudo_legal_moves)
 16966400    9.680    0.000   21.568    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\object_identity.py:202(update)
  8725544    9.603    0.000    9.603    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
 56110094    9.542    0.000    9.542    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\descriptor.py:157(GetOptions)
 16362222    9.507    0.000   34.335    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:356(flatten)
 24116518    9.424    0.000   17.651    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\tensor_shape.py:722(as_dimension)
 28842868    9.415    0.000   36.177    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\compat.py:115(as_str)
  6786416    9.371    0.000    9.371    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
  1696644    9.369    0.000   56.970    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:3405(graph_def_versions)
 18299366    9.355    0.000   24.445    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\decoder.py:234(DecodeField)
  3514466    9.329    0.000   12.177    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:3370(_add_op)
  9210136    9.326    0.000   20.237    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\util\options.py:38(__eq__)
   121178    9.285    0.000 12690.064    0.105 C:\Users\puyan\anaconda3\lib\site-packages\keras\engine\training.py:2172(predict)
  8240872    9.140    0.000   19.039    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:54(<genexpr>)
   363585    9.058    0.000    9.058    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteGraph}
 37204502    8.959    0.000    8.959    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\containers.py:55(__init__)
 14300124    8.902    0.000   18.531    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1524(__init__)
 17451088    8.795    0.000   23.674    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\c_api_util.py:199(tf_buffer)
  3635580    8.716    0.000   18.977    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\util\structure.py:275(get_flat_tensor_specs)
  6302296    8.691    0.000   21.373    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\tensor_shape.py:764(__init__)
  4605268    8.596    0.000   14.282    0.000 C:\Users\puyan\anaconda3\lib\inspect.py:2498(__init__)
 19511570    8.522    0.000    8.522    0.000 {built-in method _abc._abc_subclasscheck}
   727116    8.507    0.000   27.807    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\polymorphic_function\function_spec.py:229(_make_function_type)
  4484338    8.441    0.000   66.004    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:652(_pack_sequence_as)
 16337757    8.437    0.000   29.886    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:3516(_is_safe)
 12608096    8.436    0.000   23.825    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\context.py:2149(executing_eagerly)
  4120404    8.377    0.000   22.478    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:4416(name_scope)
  2787558    8.340    0.000   17.603    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\tf_decorator.py:61(make_decorator)
4484370/3999594    8.292    0.000   26.502    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:612(_packed_nest_with_indices)
 13952045    8.200    0.000   35.168    0.000 {built-in method builtins.all}
  3514466    8.166    0.000   15.697    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:7251(_reconstruct_sequence_inputs)
  3393280    8.115    0.000   32.713    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:405(__init__)
  2544994    8.097    0.000   10.063    0.000 C:\Users\puyan\anaconda3\lib\inspect.py:2781(__init__)
   969504    8.019    0.000   19.416    0.000 C:\Users\puyan\anaconda3\lib\inspect.py:2152(_signature_from_function)
  3514466    7.990    0.000   23.016    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\lock_util.py:95(release)
1939368/1818182    7.951    0.000  791.829    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:809(map_structure)
  3756838    7.684    0.000   11.915    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:4538(unique_name)
 19997642    7.512    0.000   10.359    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:261(_yield_sorted_items)
  4726398    7.422    0.000   42.191    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:51(_SatisfiesTypeConstraint)
 24456753    7.384    0.000    8.949    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:290(scan_reversed)
  9331466    7.373    0.000    8.626    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\object_identity.py:181(__init__)
 58412660    7.307    0.000    7.307    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:823(<lambda>)
  2424000    7.293    0.000   12.200    0.000 C:\Users\puyan\anaconda3\lib\functools.py:35(update_wrapper)
  4120404    7.266    0.000    7.266    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\context.py:932(_mode)
  3514466    7.249    0.000   18.427    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:4781(_apply_device_functions)
 19271238    7.141    0.000    7.141    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:5843(get_default)
5519205/5518501    7.111    0.000   14.155    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   363558    7.085    0.000    7.085    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewGraph}
   727116    7.029    0.000   51.571    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\polymorphic_function\function_spec.py:148(__init__)
 32478480    7.006    0.000    7.006    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:567(_GetFieldByName)
   848374    7.005    0.000  146.448    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\polymorphic_function\function_context.py:125(make_cache_key)
  5332264    6.926    0.000  941.308    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1124(MergeFromString)
   969504    6.915    0.000   33.467    0.000 C:\Users\puyan\anaconda3\lib\inspect.py:1129(getfullargspec)
  7515100    6.896    0.000  851.196    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\profiler\trace.py:178(wrapped)
  1696644    6.859    0.000   75.741    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:723(_GetOpDef)
4726302/3514426    6.741    0.000   69.856    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\encoder.py:765(EncodeField)
  1696644    6.664    0.000   16.267    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:392(_ExtractDefaultTypesAndAllowedTypes)
  1696652    6.629    0.000   26.214    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:503(_c_api_shape)
   363558    6.608    0.000   51.379    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\func_graph.py:209(__init__)
  8361994    6.594    0.000    9.937    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:398(MakeMessageMapDefault)
  8967964    6.485    0.000    9.478    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\encoder.py:393(EncodeSignedVarint)
